en,en_results,Single_ent,en_prompts_shuffled,en_prompts_shuffled_results
"Secondly, that Lieutenant Graham Gore—who had been granted a field promotion to Commander—was dead before the march began. History had swallowed him, closing over him as the sea does over a luckless sailor.","""title"": ""The Terror"", ""author"": ""Dan Simmons""",['graham gore'],"a as does been the granted a closing the him, swallowed over field dead march to Commander—was Lieutenant luckless Gore—who over had sea sailor. began. History that him had Secondly, Graham before promotion","""title"": ""Moby-Dick"", ""author"": ""Herman Melville"""
"At the Ministry, Adela stared at me with wild eyes. She looked like her edges had been improperly filled in, and I realized it was the first time I’d ever seen her without makeup. A palm-size clump of hair frizzed out from her head.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['adela'],"makeup. ever stared and filled had her improperly without hair A I the from been Adela At seen eyes. head. Ministry, with it looked She time I’d at of in, edges me out her realized her was clump frizzed like wild the first palm-size","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"We were looking at each other, neither with much of a grip on our expressions. Something was washing over Adela’s face. I thought, at first, I was witnessing a rare example of high emotion, but the longer I looked, the more I became convinced that the weird battlements of her chin and cheekbones were moving again. She looked viscous, recently shaken.","""title"": ""The God of Small Things"", ""author"": ""Arundhati Roy""",['adela'],"each that looked viscous, with the washing the I but of of weird other, a at looking chin the I face. our example longer was We and battlements She I rare at again. neither grip became over her thought, looked, Adela’s of on convinced expressions. I witnessing first, recently Something emotion, shaken. much were moving a cheekbones more high were was","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"Adela combed her fingers through her hair. The big kink at the side of her head began to flatten, in an oily, exhausted way.","""title"": ""The God of Small Things"", ""author"": ""Arundhati Roy""",['adela'],"of an her to oily, at her kink head fingers in her combed Adela side exhausted The hair. way. the through began big flatten,","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"He’d been feeling concerned, responsible, since our gallery trip. A good officer takes care of his crew. He had been out to visit her. When he’d arrived at the door of the shrouded ex-shopfront that concealed their safe house, he’d been puzzled by a line of darkness at the edge of it, like a pole of paint. A curious optical illusion. The door had been kicked in and left very, very slightly ajar, so that a single inch of the dark hallway beyond was visible. He walked in and called out for Margaret. His voice landed strangely in the penumbral air.","""title"": ""The City &amp; The City"", ""author"": ""China Miéville""",['margaret'],"in landed hallway in dark darkness air. of the feeling a arrived strangely at curious puzzled been like takes so been that her. of door He he’d voice A his crew. the been out pole had officer responsible, concealed was out His safe slightly since care When inch walked shrouded illusion. of of a very, to visit by been and The concerned, single He’d gallery paint. line visible. it, ex-shopfront He at penumbral in had that very good the of our their the he’d ajar, edge a house, left called and for beyond A of Margaret. kicked the optical door trip.","""title"": ""The Third Policeman"", ""author"": ""Flann O'Brien"""
"“I assumed you would be with me,” he replied. “And that I would take care of you. We must go to Arthur’s first. He won’t know what’s happened. Then we will move to the tunnels.”","""title"": ""The Mortal Instruments: City of Bones"", ""author"": ""Cassandra Clare""",['arthur'],"would replied. Then care won’t me,” to I the “And will he move with that what’s we Arthur’s be you would you. We of “I to know first. assumed take must go He happened. tunnels.”","""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"If Graham had asked the expats to gather in one place, that made it easier for me to herd them into protective custody. I just had to be fast—faster than the blue-light weapon, faster than the speed of information from a mole. Good God. I kicked the box of iron rations into my room so I could grab my gun. Holster, box, quick march to Graham’s bedroom. Adrenaline fuzzed all my edges.","""title"": ""Old Man's War"", ""author"": ""John Scalzi""",['graham'],"box, than I custody. Holster, my to iron protective information to blue-light it could gather them so the gun. I Adrenaline weapon, easier to fuzzed asked speed in fast—faster rations place, into me to from Good into kicked expats my room the that a bedroom. just one had If of the for had herd made edges. be march box than mole. all of the God. Graham’s my quick Graham grab faster I","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"I spent the bike ride flush against Graham, near tearful, rattling with an internal ticker tape of questions, ribboning through me in an abundance of disorder.","""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['graham'],"ticker an with I tape the ribboning near flush Graham, of internal through bike disorder. in tearful, against ride of abundance me questions, rattling an spent","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"Arthur was lying on the floor, his eyes clouded and open. His head was turned to one side—he was facing me as I entered the room. Blood and vomit pooled from his lips. It looked almost like a speech bubble on the carpet. The air had an acrid, sickly tang.","""title"": ""The Fisherman"", ""author"": ""John Langan""",['arthur'],"on the acrid, was from head speech facing was The the a his almost me carpet. It air as like lying His and his turned one entered open. and the to clouded looked an vomit floor, Arthur bubble room. I pooled had side—he on lips. tang. sickly Blood was eyes","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"I backed out of the room. I saw Graham lean down and press his forehead to Arthur’s temple. Then I turned and walked back down the stairs, legs trembling.","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle""",['graham'],"down I turned legs room. his press of and the back backed lean temple. I stairs, Arthur’s walked trembling. the to down saw out Graham Then and I forehead","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"There was a table by the front door, stacked with umbrellas, flyers, keys, small change, and other by-the-entrance ephemera. There was a small notebook, which I picked up and opened. I flipped through it. Arthur’s handwriting. I put it in my pocket. I’ll give it back to him later, I thought. I recognized the thought as one of a person in shock, but I couldn’t stop myself thinking it.","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['arthur'],"I pocket. back change, in but I’ll couldn’t in it to notebook, door, with keys, stop it. a picked later, There flyers, which one I There the and flipped shock, I Arthur’s give I umbrellas, thinking was table and I it. a a by-the-entrance myself recognized him it the of small small handwriting. other stacked put through as ephemera. opened. up I my thought by front was thought. person","""title"": ""The Crying of Lot 49"", ""author"": ""Thomas Pynchon"""
"The ride to the tunnels passed in a blur. We took the motorways, which were thundering and anonymous. This is what the road to hell is like, I thought. Not paved with good intentions, but tarmacked and screaming with vehicles driven by people who don’t know and don’t care that Arthur is dead.","""title"": ""The PowerBook"", ""author"": ""Jeanette Winterson""",['arthur'],"what is dead. by motorways, the blur. took the passed intentions, tunnels and don’t This screaming is is people in hell with the thought. The with don’t that and to Arthur which but tarmacked vehicles Not like, anonymous. who good paved care and to thundering We driven road know were I ride a","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"I reached out and clasped his shoulder, to steady myself as much as anything. He turned and dragged me toward him, curling fists into my waterproof coat. He squeezed me so tightly that it hurt. I could feel him shaking, he who never moved without a perfect clarity of intent. The whole time, I was thinking: The microchips, the microchips. They found Arthur because of the microchips. Let me out of your arms: I need to think about what to do about the microchips.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['arthur'],"without could found was reached to the to need arms: waterproof so the intent. I steady Arthur He your into tightly perfect me myself turned I clasped he much about microchips. as the coat. him, and a out feel his He out time, shaking, about thinking: that curling never microchips, clarity because of toward and anything. me to I my of They fists The shoulder, of what The hurt. him it whole microchips. microchips. me Let think moved who squeezed I dragged as do","""title"": ""The Time Machine"", ""author"": ""H.G. Wells"""
"Margaret burst from the ceiling. She had been hiding in a disused vent. She was covered with slime, and her eyes were wild. She fell, landing heavily, scrambled upright and threw herself into Graham’s arms. He swept her off the floor, his face in her filth-thickened hair.","""title"": ""The Machine Stops"", ""author"": ""E.M. Forster""",['margaret'],"eyes herself filth-thickened hiding burst the been Margaret landing a her swept her scrambled and Graham’s covered heavily, had hair. ceiling. were from into was slime, She his with wild. He in upright She fell, vent. the her She disused face arms. floor, threw in off and","""title"": ""The Yellow Wallpaper"", ""author"": ""Charlotte Perkins Gilman"""
"We didn’t have long to grieve. Graham and I changed from our soaked clothes into fresh ones. He explained the layout of the room, such as he understood it. There were three entrances, one of which was underwater. The other two were the long catacomb walk that we’d just come through, and a significantly more damaged and dangerous crawl space, whose entrance was set into the hollow of a dual-carriageway bridge.","""title"": ""The Three"", ""author"": ""Sarah Lotz""",['graham'],"come other space, such were entrances, There we’d damaged long and dangerous grieve. walk which dual-carriageway changed as whose of clothes layout the set was long significantly He it. understood a was didn’t have underwater. through, three the bridge. into hollow soaked from and more We I ones. fresh were explained catacomb into to entrance a our the of two he crawl the that Graham and one just room, of The","""title"": ""The Crystal World"", ""author"": ""J.G. Ballard"""
"“Nay, sir. Thou thinkest this the work of professional men? May this not be a lover’s revenge? Didst thou know he was a sodomite, Commander?”","""title"": ""The Alienist"", ""author"": ""Caleb Carr""",['nay'],"know was thou work sir. of this Commander?” revenge? the a Thou be men? thinkest he professional May not lover’s Didst “Nay, this a sodomite,","""title"": ""The Picture of Dorian Gray"", ""author"": ""Oscar Wilde"""
"For a second or so, there was nothing but the renegade slap of the distant water on stone. I could almost feel the chill of his blood retreating from his face before Graham quietly asked me:","""title"": ""The Power of Five"", ""author"": ""Anthony Horowitz""",['graham'],"could there feel water was slap I stone. his his renegade nothing a of so, the the chill before me: second For from quietly face but of almost on or the blood retreating Graham asked distant","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"Margaret wept the whole way through her operation. When I’d sewn her up, she turned to face me and grabbed my wrist. Her skin was perfect and opalescent under the dirt of the tunnels. She held my chin and forced me to look into her eyes, still jeweled with tears.","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['margaret'],"face whole tunnels. and perfect she Margaret of up, the eyes, When her I’d was the to wrist. me her Her me her still and to opalescent She my my dirt jeweled into grabbed look forced under the and operation. with way sewn chin through held wept tears. skin turned","""title"": ""The Handmaid's Tale"", ""author"": ""Margaret Atwood"""
"“Should I e’er find this Brigadier,” whispered Margaret, “I will break him, bone by bone. Sixteen would have wanted me at peace, but I cannot obey it. He was as a brother to me. A man of marble where all others are of clay.”","""title"": ""The Count of Monte Cristo"", ""author"": ""Alexandre Dumas""",['margaret'],"me e’er obey others A “Should wanted bone break bone. was at to man He are it. a I have as peace, Margaret, cannot of clay.” Brigadier,” by will marble would him, “I Sixteen where me. I but whispered this all find brother of","""title"": ""Wuthering Heights"", ""author"": ""Emily Brontë"""
"Eventually I felt her twitching as her body succumbed to an uneasy sleep. I must have slept too because the room withdrew from me. I dreamed, inevitably, of Arthur. I dreamed in layers of dreams where I woke in the dream and he was there and I said, “Oh, thank God, I dreamed you’d died,” and I’d wake again in the dream, and know him dead, and wake again in the dream, and think him still alive. My consciousness split like chapped skin, worried to the point of blood.","""title"": ""The Once and Future King"", ""author"": ""T.H. White""",['arthur'],"I again I’d layers of dream, body he there thank sleep. wake dead, because where of I Eventually think you’d room an dreamed, alive. twitching said, I him wake skin, I “Oh, blood. and I know her in succumbed her in and uneasy inevitably, me. to slept in Arthur. felt too to dreamed in was consciousness and the him I the like died,” the again worried must as dream chapped dreams and of My I split the the dream, God, dreamed withdrew have point woke and and from still","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
"I sat up in fits and starts, like a balloon animal inflating. Everything ached, especially my neck. I wasn’t quite awake, and so I reacted to Graham’s presence as I would have done a day before. I flopped against him and buried my face in his shoulder. He stiffened but otherwise didn’t move.","""title"": ""The Darkest Minds"", ""author"": ""Alexandra Bracken""",['graham'],"especially like fits a animal up reacted flopped I move. sat as before. would in neck. starts, against Graham’s shoulder. and quite Everything but his stiffened my and in day him I awake, and my presence buried wasn’t otherwise done to a didn’t He I face inflating. I so balloon I ached, have","""title"": ""The Stranger"", ""author"": ""Albert Camus"""
"She sent me a location—about half an hour’s walk away, right by the river. Probably the microchips Graham had disposed of were tracked that far down the water.","""title"": ""The Circle"", ""author"": ""Dave Eggers""",['graham'],"half of me right far down hour’s had river. walk an away, the the that a sent water. the location—about Probably disposed tracked by were She microchips Graham","""title"": ""The Circle"", ""author"": ""Dave Eggers"""
I pulled Arthur’s notebook from my coat pocket. There was a tiny gold pen in the spine. I held the flashlight in my teeth and wrote:,"""title"": ""The Perks of Being a Wallflower"", ""author"": ""Stephen Chbosky""",['arthur'],and the my from Arthur’s wrote: the teeth coat I spine. There in I tiny pocket. a in was gold notebook flashlight pulled my held pen,"""title"": ""The Hitchhiker's Guide to the Galaxy"", ""author"": ""Douglas Adams"""
"I tore the page out and left it on the floor, held in place and lit by my flashlight. Then, using my phone’s light, I made my way to meet Adela.","""title"": ""The Silent Companions"", ""author"": ""Laura Purcell""",['adela'],"my tore meet and floor, out Then, light, flashlight. to in using place my by I held phone’s I left on made page and my lit Adela. the the way it","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
Adela was standing in the debris-strewn mud at the bottom of a stone staircase streaked rot brown with rusted metal posts. The Thames churned behind her.,"""title"": ""The City &amp; The City"", ""author"": ""China Miéville""",['adela'],streaked was mud her. debris-strewn brown The with standing Adela in staircase Thames posts. the a the at behind of rot metal churned rusted bottom stone,"""title"": ""The God of Small Things"", ""author"": ""Arundhati Roy"""
"“I’m wearing a reflector,” said Adela. “Good for at least five shots. How much power do you have left in that thing? I know you emptied half the battery on Eighteen-forty-seven’s attempted capture. And you haven’t managed to get back to your era to recharge.”","""title"": ""To Say Nothing of the Dog"", ""author"": ""Connie Willis""",['adela'],"left at you And How power least your battery “Good have Eighteen-forty-seven’s get you do haven’t “I’m managed I era much emptied to reflector,” wearing half five that Adela. capture. thing? recharge.” on in you back a for shots. know said attempted to the to","""title"": ""The Shadow of the Wind"", ""author"": ""Carlos Ruiz Zafón"""
"“Wrong again,” said Adela. “She’s already on a different timeline. She told Eighteen-forty-seven about the Holocaust instead of 9/11, and I think it’s sent him down a different path. The link’s broken.”","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['adela'],"Eighteen-forty-seven different a Holocaust about said “Wrong timeline. it’s broken.” 9/11, I on and The “She’s Adela. different told the a him She path. instead down again,” sent link’s think of already","""title"": ""The Illuminatus! Trilogy"", ""author"": ""Robert Shea and Robert Anton Wilson"""
"Adela sighed. “I knew I was naive when I was a young woman,” she said. “But I didn’t realize I was this naive.”","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz""",['adela'],"realize sighed. “I naive.” I Adela I was I was a didn’t I was naive this young she knew said. “But woman,” when","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"There was blood in my nose and in the back of my throat. In my panic, my body was putting beats in all the wrong places. “Arthur’s dead,” I said, just to stop her talking.","""title"": ""The Stranger"", ""author"": ""Albert Camus""",['arthur'],"back my There places. just blood dead,” body In the in talking. was “Arthur’s to in said, panic, my in her and of stop throat. my beats was putting I wrong nose all the my","""title"": ""Dracula"", ""author"": ""Bram Stoker"""
Adela’s face dropped horribly for a moment—a truly incredible sight on her mobile features. Then she arrested its slide and pinned a blank expression in place.,"""title"": ""A Passage to India"", ""author"": ""E.M. Forster""",['adela'],truly her Adela’s arrested in features. she a incredible dropped a Then sight blank on mobile and horribly face pinned its for slide place. expression moment—a,"""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
Adela was gawping at the Brigadier. “Less efficient?” she said. “You didn’t kill Sixteen-sixty-five this time—the Ministry saved her.”,"""title"": ""Harry Potter and the Order of the Phoenix"", ""author"": ""J.K. Rowling""",['adela'],“You kill her.” Sixteen-sixty-five at “Less Brigadier. efficient?” was saved the time—the Ministry this said. gawping Adela didn’t she,"""title"": ""The Ministry of Fear"", ""author"": ""Graham Greene"""
"I did goldfish faces for a few seconds, then managed to say to Adela, “The Ministry killed them? Did you do this? Did you know about this?”","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['adela'],"Adela, you “The managed Did this? do killed say about to did a faces goldfish seconds, for then know I Did this?” you Ministry few to them?","""title"": ""The Ministry of Fear"", ""author"": ""Graham Greene"""
"The impact wasn’t smooth. A greenish screen fizzled and flickered over Salese’s body—some kind of shield. But Adela grunted and pushed past its vivid static, driving the knife home. I hadn’t seen the knife appear, but now it was center stage. Blood sprayed, hit the casing of green, dripped lushly down the inside. Salese gagged, eyes rolling back. This all took less than three seconds.","""title"": ""Altered Carbon"", ""author"": ""Richard K. Morgan""",['adela'],"smooth. knife screen the took but sprayed, casing A eyes Blood kind But all the and grunted appear, and down body—some rolling pushed three This it than of green, lushly its seen over hadn’t Salese shield. The static, Adela driving impact vivid past knife gagged, wasn’t fizzled inside. stage. the back. hit dripped Salese’s center I seconds. home. the was now greenish of less flickered","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson"""
"In that time, I’d thrown myself at the Brigadier with my brain all gray. He was a big man but hollow with it. He’d been hungry for some time, I could feel that in the baggy give of his flesh when my knuckles connected. He wasn’t afraid of pain. I kicked his shins and heard a crack, and I punched his mouth and felt a tooth turn in his livid gum, and he took it all grimly, without breaking attention. He had his hand on my hand, and my hand was wrestling his for the blue-light weapon. Then he turned his head, just for a moment, and he must have seen what had become of Salese, because his grip unflexed. I wrenched. When I was done, I was holding the blue-light weapon, two of my fingers appeared to be dislocated, and the Brigadier was backing away.","""title"": ""Ancillary Justice"", ""author"": ""Ann Leckie""",['salese'],"Salese, turned I a his with hungry of afraid flesh that turn his his baggy was dislocated, and of connected. crack, backing feel He’d because hand, the his had felt without the of brain hollow When have appeared moment, unflexed. his heard with a my Brigadier tooth was blue-light I give hand it In my punched the had and myself holding was in Then all blue-light wrestling for thrown a of weapon, head, his took he gum, his big done, time, knuckles he for been time, be all but some could and become hand shins he when must weapon. to fingers my seen mouth it. I grimly, on was was I kicked away. breaking He the grip I my the and livid He man Brigadier at two He attention. gray. that and and what I’d in wrenched. for pain. I a just his and my wasn’t","""title"": ""The Power and the Glory"", ""author"": ""Graham Greene"""
"“People aren’t history,” said Adela scornfully. “Good grief, why didn’t I listen to anything anyone told me when I was young? As long as the Ministry rises to power, then history happened the way we said it did.”","""title"": ""Harry Potter and the Deathly Hallows"", ""author"": ""J.K. Rowling""",['adela'],"Adela “People long didn’t way history history,” anything said scornfully. when why as rises aren’t it told me to grief, Ministry power, was happened young? “Good As did.” we listen the to said then anyone I I the","""title"": ""The Ministry of Utmost Happiness"", ""author"": ""Arundhati Roy"""
"“That’s why the Brigadier was here—for me, and for him, as early in our timelines as possible. I understand that, in their era, the Ministry and the British government as a whole are considered culpable for what their Britain looks like. I suppose we invested in weapons and manufacturing that were not what you probably still call ‘carbon neutral.’ Charming term. It fell out of fashion—will fall out of fashion. Anyway, the situation was desperate. You’re not long off your first resource war. Or the first Special Branch Coast Guard. Graham was closely involved in that. He finally made post-captain,” she added, with a phantom smile.","""title"": ""Doctor Who: The Stone Rose"", ""author"": ""Jacqueline Rayner""",['graham'],"and Brigadier possible. as I their the the term. You’re that, probably finally she in in Britain not Charming considered Ministry war. manufacturing made what Or your Coast our was what post-captain,” of off still weapons timelines fall looks first suppose was and with Guard. It the not Graham He ‘carbon fashion. their the in invested you for a a resource long and added, government first closely here—for are was as as fashion—will why understand me, out culpable like. fell were Special the phantom I involved situation we call whole early that. of for neutral.’ Branch out “That’s that him, in desperate. Anyway, smile. era, British","""title"": ""The Ministry of Space"", ""author"": ""Warren Ellis"""
"I stared at her. She shrugged tiredly and said, “I was worried when you said you hadn’t told Graham about 9/11, because in my timeline, that immediately converted him to the Ministry. Highly trained mercenaries attacking civilians. The necessity of belligerent tactics to prevent another attack. Neo-Crusades following the collapse of the empire. And so on. You were right about the way he reacted. I remember him bringing up the Aden expedition. Though I’m sure he’d deny it was ‘racist,’ you know he’s funny about that word. The Ministry promoted him quickly. Much quicker than they promoted you. He’s good. He was in the field for a few years but he was fast-tracked into leadership. He’s—how can I put this?—extremely senior.”","""title"": ""The First Fifteen Lives of Harry August"", ""author"": ""Claire North""",['graham'],"into about quicker the to that he I’m stared the leadership. civilians. word. belligerent you. expedition. timeline, Graham to I Aden they said, converted right the for Highly bringing hadn’t you know up her. You 9/11, way in And was The in and quickly. promoted trained years a tiredly He can collapse said when shrugged worried were necessity than that remember told him ‘racist,’ the it fast-tracked senior.” prevent “I but mercenaries funny few the the Much deny Ministry was immediately Ministry. field was on. He’s my reacted. of The you put empire. Though was Neo-Crusades sure I at because he so of you he’s about good. about him She attack. He’s—how him I tactics attacking promoted this?—extremely another he’d following","""title"": ""The Ministry of Space"", ""author"": ""Warren Ellis"""
"I thought I might get another You’re a stupid girl, but Adela just looked sad. “Time,” she said, “is a limited resource. Like all of our resources. You only get to experience your life once. And you can travel through time, a little, though it’s like smoking cigarettes: the more you do it, the greater risk you’re at from death by its effects. And yes, you can go back and change the details, a little, but there’s a limit to how often. Every time you dig a new pathway into time, you exhaust a little more of it, and if we go back too often and mine too deeply in the same place, again and again, pulling history from the same coal seam, it will collapse. It will obliterate us, like a black hole. You have to get it right.”","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['adela'],"a at history our details, dig You of often resource. have a a coal get get once. Like I greater looked though deeply collapse. again, like by in time but said, It you smoking of limited little, little and might the and into You you thought exhaust seam, time, Every can to a to its limit cigarettes: effects. little, another life You’re place, And And from can a travel change again you a us, you’re time, girl, from will obliterate we same you how more get risk I will through only it’s resources. Adela often. just the you like pathway it mine experience a “is pulling but it, it, the new a too the it your same and she back black death sad. all go back the if and too “Time,” yes, do right.” go to hole. stupid there’s more","""title"": ""The Time Machine"", ""author"": ""H.G. Wells"""
"“Easy, little cat,” Graham said, his voice still calm. “You have some explaining to do. Madam, put your hands in the air. We have you in our sights.”","""title"": ""The Silent Patient"", ""author"": ""Alex Michaelides""",['graham'],"Madam, hands Graham still air. our explaining your said, “You in have some “Easy, sights.” do. to little voice put have in his the We cat,” you calm.","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"“I suppose this depends on your interpretation of harm,” said Graham from his hiding place, quite pleasantly. “Perhaps you don’t intend to kill us. But to survey a man, to rob him of his freedom and use him like a tool—would you not consider this harmful?”","""title"": ""The Machine Stops"", ""author"": ""E.M. Forster""",['graham'],"harmful?” his to survey us. his of from to said this this him a interpretation man, your kill place, freedom quite to him not harm,” consider suppose intend “I on and But pleasantly. depends use hiding “Perhaps like Graham of tool—would a don’t you you rob","""title"": ""1984"", ""author"": ""George Orwell"""
"Adela leaned toward me. “If I were you, I would run before the SWAT team gets here,” she whispered. “Things are going to get very crowded, very quickly.”","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['adela'],"“If quickly.” team SWAT the Adela get gets would whispered. here,” me. crowded, before “Things I she were run are very I leaned very toward you, going to","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"As I ran, a gunshot rang out. The bullet passed close enough that I heard its whistling song. And I thought, that wasn’t Graham. It wasn’t Graham who just tried to shoot me. It can’t have been Graham. Because if it was Graham, he wouldn’t have missed.","""title"": ""The Girl with the Dragon Tattoo"", ""author"": ""Stieg Larsson""",['graham'],"wasn’t gunshot missed. passed enough thought, who have if whistling a wasn’t It tried The close rang Graham. just wouldn’t been ran, that its shoot Graham, As me. I have Graham And song. heard Graham. I was I Because he it bullet can’t to that It out.","""title"": ""The Sound and the Fury"", ""author"": ""William Faulkner"""
"Heat and rage barreled up through my chest, enormous as a sun, shrank to a tennis ball by the time it gained my throat, and came out as another “Oh.” Eventually, I managed a further syllable: “Why?” When she didn’t respond, her forehead gathering and ruching with the effort of not crying herself, I said, “But you must have known what would happen to Arthur?”","""title"": ""The Buried Giant"", ""author"": ""Kazuo Ishiguro""",['arthur'],"known a with When a chest, to my time said, up gained shrank as ball Eventually, tennis it the and effort her by rage throat, managed crying “Why?” I what as another herself, and Heat of forehead must ruching syllable: enormous Arthur?” “Oh.” further and not I a gathering barreled she respond, came sun, “But have you happen out didn’t the my through would to","""title"": ""The Bell Jar"", ""author"": ""Sylvia Plath"""
"“Two hundred years from now. It’s finished. South America’s mostly gone, except Brazil and its satellites. Half of Britain’s underwater. Europe dropped bombs on any ships in the Mediterranean coming from North Africa. No refugees. They died there or they turned back and died of disease and starvation and the heat. Billions died, billions. Then the backlash, when water started running scarce, against immigrant communities. Salese told me—”","""title"": ""The Power"", ""author"": ""Naomi Alderman""",['salese'],"and backlash, Britain’s told any heat. me—” It’s now. immigrant Then Salese refugees. died gone, Europe North or of except ships finished. from and died when its Mediterranean They hundred the water years mostly underwater. satellites. coming dropped they billions. from turned the running Brazil back Half died, on Africa. and starvation scarce, “Two No communities. and America’s started there the bombs against in disease South of Billions","""title"": ""The Road"", ""author"": ""Cormac McCarthy"""
"“You are pointing a gun at me,” I said carefully. “Why have you brought me here? If it’s to kill Adela by killing me, it won’t work. We’ve changed history, apparently. Or the details, anyway.”","""title"": ""The Time Traveler's Wife"", ""author"": ""Audrey Niffenegger""",['adela'],"me We’ve the a anyway.” it’s killing gun won’t carefully. kill “Why Or me,” If have you to here? pointing history, brought said it changed at are details, me, apparently. by I “You Adela work.","""title"": ""The Brief Wondrous Life of Oscar Wao"", ""author"": ""Junot Díaz"""
"I managed a sour little chuckle. I put her gun away in my holster and seized her hand. It probably looked like an allegorical picture for friendship for a moment, but then I wrenched her arm up behind her back and put my gun between her shoulder blades. Part two in a triptych: friendship weaponized. Arthur, after all, had died on her watch. That he had also died on mine, I didn’t really want to contemplate.","""title"": ""The Dresden Files"", ""author"": ""Jim Butcher""",['arthur'],"her arm friendship on Part he in had my like an died That I to really on had weaponized. contemplate. in seized It triptych: her shoulder probably two wrenched looked holster managed picture up gun moment, hand. also a for friendship allegorical then didn’t watch. her gun a want Arthur, her after behind I away little put died mine, a for between but and her I blades. sour put all, my chuckle. back I and her","""title"": ""The Dark Tower"", ""author"": ""Stephen King"""
"“Mm,” I said, as “no” seemed like it might knock a few inches off my advantage but “yes” was just rude. “What happens if I let you go home?”","""title"": ""The Cruel Prince"", ""author"": ""Holly Black""",['mm'],"like but you advantage happens home?” said, let I my few seemed “yes” I might go rude. if off as was it knock inches “Mm,” “no” “What just a","""title"": ""Pride and Prejudice"", ""author"": ""Jane Austen"""
"“Was mine. We don’t use the words you use in this era. Sal was mine, and I was Sal’s, that’s all.”","""title"": ""The Catcher in the Rye"", ""author"": ""J.D. Salinger""",['sal'],"use was all.” the don’t era. words was mine, this Sal and that’s use I “Was in mine. Sal’s, you We","""title"": ""On the Road"", ""author"": ""Jack Kerouac"""
"“I don’t—think so? I tried to destroy the door. I thought if I destroyed it, then this would all be over. Graham, why are you pointing a gun at me?”","""title"": ""The Girl with All the Gifts"", ""author"": ""M.R. Carey""",['graham'],"destroyed at all so? I Graham, then me?” it, I are destroy gun “I pointing tried if door. to thought you why over. be the a would I this don’t—think","""title"": ""The Turn of the Screw"", ""author"": ""Henry James"""
"He stood up, and I flinched. His arm was perfectly steady. Arthur’s ring glinted on his finger. He didn’t even look angry. He was just, indisputably, unutterably, holding me at gunpoint. The safety catch was off—of course. I said, “You’ll kill me if you shoot that thing at point-blank range.”","""title"": ""The Song of Achilles"", ""author"": ""Madeline Miller""",['arthur'],"angry. that on finger. me glinted said, shoot and didn’t catch perfectly at at flinched. just, if even gunpoint. steady. look course. point-blank unutterably, safety me Arthur’s I kill his indisputably, His holding He thing He was you was The was range.” stood up, He ring off—of arm “You’ll I","""title"": ""The Hound of the Baskervilles"", ""author"": ""Sir Arthur Conan Doyle"""
"“You had orders,” he repeated. “How fascinating that you should have been born and raised in the twenty-first century and not hear how you sound. All that ambition, all that maneuvering, and it amounts to ‘following orders.’ I used to find you so extraordinarily subtle, a tactician, a magician. To think it was because you were a coward. Do you understand that Arthur is dead because of you?”","""title"": ""The Magicians"", ""author"": ""Lev Grossman""",['arthur'],"to had and it a sound. and Arthur he orders.’ have “How “You hear been dead All was were extraordinarily and so find you coward. born ambition, amounts is a that orders,” not maneuvering, used in all because that you think century the a you that ‘following tactician, how you you to I magician. should raised that of fascinating you?” it because twenty-first Do To repeated. understand subtle,","""title"": ""The Magician"", ""author"": ""W. Somerset Maugham"""
